# Radius     Gravity      Pressure     Temperature  Density      Vp           Vs           K            G            Expansivity  Cp            dGdT         
3.489335e+06 1.067489e+01 1.354319e+11 3.205356e+03 5.475333e+03 1.390949e+04 7.088275e+03 6.925333e+11 2.751007e+11 1.205346e-05 1.246369e+03 -1.774525e+07
3.498713e+06 1.066139e+01 1.348752e+11 3.100428e+03 5.477643e+03 1.391578e+04 7.103741e+03 6.921816e+11 2.764190e+11 1.203531e-05 1.243722e+03 -1.771847e+07
3.508091e+06 1.064808e+01 1.343197e+11 3.000957e+03 5.479598e+03 1.392116e+04 7.118139e+03 6.917529e+11 2.776398e+11 1.201906e-05 1.241160e+03 -1.769303e+07
3.517468e+06 1.063495e+01 1.337654e+11 2.909149e+03 5.481055e+03 1.392526e+04 7.131081e+03 6.912149e+11 2.787244e+11 1.200578e-05 1.238747e+03 -1.766991e+07
3.526846e+06 1.062200e+01 1.332122e+11 2.826606e+03 5.481908e+03 1.392782e+04 7.142291e+03 6.905440e+11 2.796448e+11 1.199636e-05 1.236538e+03 -1.764994e+07
3.536224e+06 1.060924e+01 1.326601e+11 2.754319e+03 5.482093e+03 1.392869e+04 7.151605e+03 6.897258e+11 2.803841e+11 1.199140e-05 1.234574e+03 -1.763374e+07
3.545601e+06 1.059665e+01 1.321092e+11 2.692628e+03 5.481588e+03 1.392780e+04 7.158981e+03 6.887557e+11 2.809369e+11 1.199125e-05 1.232881e+03 -1.762168e+07
3.554979e+06 1.058424e+01 1.315595e+11 2.641276e+03 5.480411e+03 1.392521e+04 7.164475e+03 6.876372e+11 2.813078e+11 1.199594e-05 1.231468e+03 -1.761391e+07
3.564357e+06 1.057201e+01 1.310108e+11 2.599556e+03 5.478607e+03 1.392103e+04 7.168225e+03 6.863809e+11 2.815097e+11 1.200530e-05 1.230328e+03 -1.761031e+07
3.573734e+06 1.055994e+01 1.304633e+11 2.566428e+03 5.476243e+03 1.391544e+04 7.170422e+03 6.850021e+11 2.815608e+11 1.201895e-05 1.229441e+03 -1.761059e+07
3.583112e+06 1.054805e+01 1.299168e+11 2.540657e+03 5.473401e+03 1.390863e+04 7.171292e+03 6.835187e+11 2.814829e+11 1.203637e-05 1.228778e+03 -1.761429e+07
3.592489e+06 1.053632e+01 1.293716e+11 2.520964e+03 5.470162e+03 1.390082e+04 7.171065e+03 6.819495e+11 2.812986e+11 1.205697e-05 1.228305e+03 -1.762089e+07
3.601867e+06 1.052476e+01 1.288273e+11 2.506109e+03 5.466607e+03 1.389220e+04 7.169963e+03 6.803124e+11 2.810293e+11 1.208019e-05 1.227986e+03 -1.762987e+07
3.611245e+06 1.051336e+01 1.282841e+11 2.494979e+03 5.462809e+03 1.388296e+04 7.168185e+03 6.786237e+11 2.806948e+11 1.210546e-05 1.227788e+03 -1.764072e+07
3.620622e+06 1.050213e+01 1.277421e+11 2.486623e+03 5.458829e+03 1.387326e+04 7.165902e+03 6.768975e+11 2.803117e+11 1.213232e-05 1.227680e+03 -1.765297e+07
3.630000e+06 1.049105e+01 1.272010e+11 2.480265e+03 5.454719e+03 1.386322e+04 7.163252e+03 6.751448e+11 2.798935e+11 1.216036e-05 1.227639e+03 -1.766627e+07
3.630000e+06 1.049105e+01 1.272010e+11 2.480265e+03 5.454719e+03 1.386322e+04 7.163252e+03 6.751448e+11 2.798935e+11 1.216036e-05 1.227639e+03 -1.766627e+07
3.639471e+06 1.048000e+01 1.266563e+11 2.475261e+03 5.450480e+03 1.385285e+04 7.160318e+03 6.733590e+11 2.794470e+11 1.218952e-05 1.227644e+03 -1.768044e+07
3.648942e+06 1.046912e+01 1.261127e+11 2.471215e+03 5.446177e+03 1.384231e+04 7.157204e+03 6.715620e+11 2.789836e+11 1.221934e-05 1.227682e+03 -1.769514e+07
3.658413e+06 1.045839e+01 1.255700e+11 2.467795e+03 5.441833e+03 1.383166e+04 7.153970e+03 6.697585e+11 2.785091e+11 1.224962e-05 1.227741e+03 -1.771021e+07
3.667885e+06 1.044782e+01 1.250283e+11 2.464771e+03 5.437462e+03 1.382094e+04 7.150657e+03 6.679516e+11 2.780277e+11 1.228025e-05 1.227813e+03 -1.772552e+07
3.677356e+06 1.043740e+01 1.244877e+11 2.461989e+03 5.433075e+03 1.381017e+04 7.147293e+03 6.661441e+11 2.775421e+11 1.231114e-05 1.227895e+03 -1.774101e+07
3.686827e+06 1.042714e+01 1.239480e+11 2.459352e+03 5.428678e+03 1.379936e+04 7.143896e+03 6.643370e+11 2.770539e+11 1.234225e-05 1.227981e+03 -1.775661e+07
3.696298e+06 1.041702e+01 1.234093e+11 2.456796e+03 5.424275e+03 1.378854e+04 7.140476e+03 6.625312e+11 2.765642e+11 1.237353e-05 1.228071e+03 -1.777231e+07
3.705769e+06 1.040706e+01 1.228716e+11 2.454287e+03 5.419868e+03 1.377770e+04 7.137042e+03 6.607274e+11 2.760738e+11 1.240498e-05 1.228163e+03 -1.778808e+07
3.715240e+06 1.039725e+01 1.223348e+11 2.451802e+03 5.415459e+03 1.376684e+04 7.133596e+03 6.589257e+11 2.755829e+11 1.243657e-05 1.228256e+03 -1.780391e+07
3.724712e+06 1.038758e+01 1.217989e+11 2.449330e+03 5.411047e+03 1.375597e+04 7.130140e+03 6.571262e+11 2.750917e+11 1.246831e-05 1.228350e+03 -1.781979e+07
3.734183e+06 1.037805e+01 1.212640e+11 2.446863e+03 5.406636e+03 1.374510e+04 7.126676e+03 6.553293e+11 2.746004e+11 1.250019e-05 1.228444e+03 -1.783573e+07
